iter	Passed	Remaining
0	155	155462
1	156	78161
2	157	52310
3	158	39361
4	158	31570
5	159	26388
6	159	22695
7	160	19921
8	161	17767
9	162	16050
10	162	14652
11	163	13480
12	164	12484
13	165	11638
14	165	10897
15	166	10251
16	167	9681
17	168	9176
18	169	8730
19	169	8329
20	170	7959
21	171	7624
22	172	7318
23	173	7036
24	173	6782
25	174	6541
26	175	6317
27	175	6108
28	176	5914
29	177	5738
30	178	5570
31	178	5410
32	179	5267
33	180	5134
34	181	5009
35	182	4885
36	183	4765
37	183	4653
38	184	4548
39	185	4447
40	186	4352
41	187	4269
42	187	4180
43	188	4103
44	189	4023
45	190	3947
46	191	3873
47	192	3809
48	192	3739
49	193	3672
50	193	3609
51	194	3547
52	195	3496
53	196	3439
54	197	3386
55	198	3339
56	198	3291
57	199	3241
58	200	3197
59	201	3153
60	202	3110
61	203	3072
62	204	3036
63	205	2998
64	205	2959
65	206	2923
66	207	2890
67	208	2855
68	209	2822
69	210	2790
70	210	2758
71	211	2727
72	212	2695
73	213	2667
74	213	2638
75	214	2609
76	215	2583
77	216	2562
78	217	2535
79	218	2510
80	218	2483
81	219	2459
82	220	2431
83	220	2407
84	221	2384
85	222	2362
86	223	2340
87	223	2319
88	224	2298
89	225	2277
90	226	2257
91	227	2241
92	228	2226
93	229	2209
94	230	2191
95	231	2180
96	232	2162
97	233	2145
98	234	2131
99	235	2115
100	235	2097
101	236	2079
102	236	2062
103	237	2045
104	238	2029
105	238	2012
106	239	1996
107	239	1982
108	240	1967
109	241	1952
110	242	1938
111	242	1924
112	243	1910
113	244	1896
114	244	1883
115	245	1872
116	246	1859
117	247	1847
118	247	1835
119	248	1823
120	249	1810
121	249	1797
122	250	1785
123	251	1773
124	251	1762
125	252	1753
126	253	1741
127	254	1731
128	254	1721
129	255	1710
130	256	1699
131	256	1689
132	257	1679
133	258	1670
134	259	1660
135	259	1650
136	260	1641
137	261	1631
138	261	1622
139	262	1613
140	263	1604
141	263	1594
142	264	1586
143	265	1577
144	266	1568
145	266	1559
146	267	1549
147	267	1540
148	268	1531
149	268	1524
150	269	1516
151	270	1509
152	271	1501
153	271	1493
154	272	1485
155	273	1477
156	273	1469
157	274	1462
158	274	1454
159	275	1446
160	275	1437
161	276	1431
162	277	1424
163	277	1417
164	278	1410
165	279	1402
166	279	1396
167	280	1389
168	281	1382
169	281	1375
170	283	1374
171	284	1368
172	285	1363
173	285	1356
174	286	1349
175	287	1343
176	287	1337
177	288	1331
178	289	1326
